"","rstudent","dffits","cook.d","cov.r","tau2.del","QE.del","hat","weight","inf"
"95",0.207926002047109,0.0169668774260545,0.000289410495042304,1.00856015065735,0.809560820188026,1233.59745618572,0.00403452042105367,0.403452042105367,""
"96",-0.107737269039768,-0.00308343613864534,9.5616368161048e-06,1.00883890845026,0.809734674194899,1233.18848434414,0.00415823800993335,0.415823800993334,""
"97",0.657152800264377,0.0450436374883733,0.00203637225169958,1.00719122877185,0.807851306767975,1231.41763502427,0.00418150453677339,0.418150453677338,""
"98",-0.0932014134392544,-0.00212826032795449,4.55537057353442e-06,1.00886134644477,0.809758729115693,1233.2403333822,0.00415932691483411,0.415932691483411,""
"99",0.38225308467155,0.0282740077250072,0.000803583713421479,1.00844759034646,0.809267630059566,1233.13340968474,0.00418115591223074,0.418115591223073,""
"100",0.276402801632278,0.0176922428595317,0.000313882892699733,1.00616380724763,0.808101189158115,1233.56542921412,0.00294085370959168,0.294085370959168,""
"101",1.72772741992996,0.0776788382755006,0.00601642351706478,0.997758489770627,0.799443946439452,1228.68194141471,0.00222322954680006,0.222322954680006,""
"102",1.4747601266899,0.069445369055336,0.00481370020923392,0.999683748619801,0.801456568150962,1229.90956125359,0.00236151305250661,0.236151305250661,""
"103",0.252416353551182,0.0153132770282231,0.000235013320329924,1.00549751965857,0.807729898577583,1233.58844220049,0.00260629085584664,0.260629085584663,""
"104",0.021876279086379,0.00358139797260952,1.2855161314009e-05,1.00554997380959,0.807820625478356,1233.62173545791,0.00257842215940033,0.257842215940033,""
"105",-0.451723501081116,-0.0206653756716834,0.000427700487534532,1.00455142588096,0.806838451122443,1233.00739033532,0.00245220969532941,0.245220969532941,""
"106",-0.517010842473289,-0.0239564124083306,0.000574675469475557,1.00430809759201,0.806591964137591,1232.8597754163,0.00242775086028501,0.242775086028501,""
"107",-0.57548990635521,-0.0268820971366033,0.000723493278067407,1.00407101917711,0.806351232341052,1232.71647859444,0.00240442605094011,0.240442605094011,""
"108",-0.422539461378631,-0.0191869917567382,0.000368721184996554,1.00465261271264,0.806940702378202,1233.06895968589,0.00246259984642335,0.246259984642335,""
"109",0.36352518745178,0.0186670602978887,0.000348944568429341,1.00436463329984,0.806993609108284,1233.50603955774,0.0021296911286509,0.21296911286509,""
"110",0.0174245187840956,0.00280700308388773,7.89093317829799e-06,1.0045091845426,0.807195169834467,1233.62603985468,0.00209563441400294,0.209563441400294,""
"111",1.27427216278408,0.0548511857722634,0.00300699372584846,1.00092483220901,0.803368637465611,1231.30466834477,0.00190700333759597,0.190700333759596,""
"112",0.808268147480198,0.0378063883199325,0.00143025589044083,1.00315413500284,0.805685887681628,1232.73246799541,0.00207966064579758,0.207966064579757,""
